#,Träger,Träger 2,Träger 3,Träger 4,Titel,Untertitel,Strassen,Beschreibung,Start genau,Ende genau,Datum_Text
18,STAWAG,,,,Königsberger Straße,zwischen Trierer Str. und Danziger Str.,"Königsberger Straße (Trierer Str., Danziger Str.)","Erweiterung Fernwärmenetz. Die Arbeiten stehen kurz vor ihrem Abschluss, nun muss die Straßenoberfläche wiederhergestellt werden. Im ersten Abschnitt wird die Fahrbahn zwischen Johannstraße und Stettiner Straße erneuert. Ab Donnerstag, 21. März, muss die Königsberger Straße daher in diesem Abschnitt gesperrt werden. Die Linienbusse in Richtung Innenstadt werden über die Stettiner Straße umgeleitet, die Busse in Richtung Grauenhofer Weg fahren ihre gewohnte Strecke. Die Arbeiten sollen vor Ostern abgeschossen sein. Nach Ostern wird dann der Abschnitt zwischen Stettiner und Danziger Straße wiederhergestellt. Eine Vollsperrung ist jedoch nur zwischen Stettiner und Sittarder Straße erforderlich, bis zur Danziger Straße bleibt die Königsberger Straße dank einer Ampelregelung befahrbar. Die Linienbusse fahren in beiden Richtungen über die Sittarder Straße. Die Arbeiten dauern voraussichtlich vom 2. bis zum 8. April. Während der strengen winterlichen Verhältnisse in den letzten Wochen war der Straßenbau nicht möglich. Um den Verkehr in den fertig gestellten Teilabschnitten dennoch fließen zu lassen, wurde ein Oberflächenprovisorium eingebaut, das nun wieder entfernt wird. Um den Busverkehr aufrechtzuhalten, kann hier nur abschnittsweise gearbeitet werden. Weitere Informationen zu den Baumaßnahmen der STAWAG gibt es montags bis donnerstags von 8 Uhr bis 16 Uhr und freitags von 8 Uhr bis 12 Uhr telefonisch unter 0241 181-1444 und jederzeit im Netz unter www.stawagbaut.de.",,30.04.2013,Bis April 2013
19,STAWAG,,,,Krefelder Straße,stadtauswärts von Passstraße bis Normannenstraße,"Krefelder Straße, Passstraße, Normannenstraße","Nach Ostern beginnen dafür Tiefbauarbeiten, die eine Sperrung der rechten Fahrspur stadtauswärts erforderlich machen. Die Einmündung von der Krefelder Straße in die Normannenstraße wird ebenfalls gesperrt, so dass sich die Einbahnstraßenregelung in der Normannenstraße zwischen Eginhardstraße und Krefelder Straße umkehrt. Die Ausfahrt von der Normannenstraße in die Krefelder Straße ist möglich. Die Arbeiten sollen Mitte Juni abgeschlossen sein. Siehe www.stawagbaut.de.",01.04.2013,30.06.2013,April bis Juni
20,STAWAG,,,,Kupferstraße,,Kupferstraße,Kanalerneuerung Weitere Infos unter www.stawagbaut.de,01.06.2013,31.12.2013,Juni – Dezember 2013
21,Stadt Aachen,,,,Mostardstraße,,Mostardstraße,"Sperrung Durchfahrt vom Markt in die Mostardstraße wegen Restarbeiten, Lieferverkehr muss über Großkölnstraße fahren",,30.04.2013,Bis 30. April
22,Bau- und Liegenschaftsbetrieb NRW,,,,Melatener Straße,,Melatener Straße,"Bau eines Parkhauses an der Forckenbeckstraße, dadurch muss aus Sicherheitsgründen die Fußgänger- und Radfahrbrücke Melatener Straße komplett gesperrt werden. Umleitung über die Halifaxstraße (ca. 800 Meter längerer Weg)                          ",,30.09.2013,Bis September 2013
23,Stadt Aachen,,,,Ningbostraße/Arlingtonstraße/Kostromastraße,,"Ningbostraße, Arlingtonstraße, Kostromastraße","Straßenendausbau der Straßen im Neubaugebiet am Grauenhofer Weg, abschnittsweise Sperrungen ",,31.05.2013,Bis Ende Mai 2013
24,Stadt Aachen,,,,Prof. Wieler-Straße,,Prof. Wieler-Straße,"Endgültige Herstellung der Erschließungsanlagen auf dem ehemaligen Gelände des Stadtbetriebs mit Fahrbahn, Parkstreifen und Gehwegen. Es werden 17 Bäume gepflanzt und 17 Parkplätze angelegt. ",01.03.2013,30.06.2013,März bis Ende Juni
25,STAWAG,,,,Rollefstraße/ Am Rollefer Berg,,"Rollefstraße, Am Rollefer Berg","Die STAWAG erneuert in der Rollefstraße 38 bis 71 und Am Rollefer Berg 1 bis 30 das Versorgungsnetz für Gas. Im Zuge einer Gashausanschluss-Auswechslung wird ggf. der Wasserhausanschluss mit erneuert. Für die Arbeiten muss zunächst die Rollefstraße für den Durchgangsverkehr gesperrt werden, im späteren Verlauf der Rollefer Berg zwischen Wendelinstraße und Im Kollenbruch. Umleitungen werden ausgeschildert. Anlieger können ihre Grundstücke erreichen, in den Bauabschnitten entfallen jeweils die Parkplätze. Im Bereich Walkstraße bis Wendelinstraße wird die Baumaßnahme archäologisch begleitet, da sich dort eine römische Trümmerstelle befindet. Weitere Infos: www.stawagbaut.de         ",,31.07.2013,Bis Ende Juli
26,STAWAG,,,,Rolandstraße,,Rolandstraße,"2. Bauabschnitt: Erneuerung von Kanal- und Versorgungsleitungen, Abschluss der Arbeiten ist witterungsbedingt nicht genau vorhersehbar. ",01.05.2013,31.12.2013,Mai bis Dezember
27,STAWAG,,,,Salierallee,,Salierallee,Sanierung des Kanals. Weitere Info unter www.stawagbaut.de,01.05.2013,31.12.2013,Mai bis Dezember 2013
28,STAWAG,,,,Schleckheimer Straße,stadteinwärts zw. Mühlental und Eupener Straße,,Kanalsanierung im unterirdischen Rohrvortrieb,01.03.2013,31.05.2014,März 2013 bis Mai 2014
29,STAWAG,,,,Schlossparkstraße,Schloss-Rahe-Str. bis Schlossweiherstraße,"Schloss-Rahe-Str., Schlossweiherstraße",Leitungsverlegung Fernwärme,01.04.2013,30.09.2013,April bis September 2013
30,STAWAG,Stadt Aachen,,,Schlossstraße,,Schlossstraße,"Kanal- und Versorgungsleitungen werden erneuert, Fahrbahn und Bürgersteige verbreitert, Abbau der Ampel an der Bismarckstraße wegen Tempo 30-Zone, Verkehrsberuhigung durch Verengung des Straßenraums, Neupflanzung von 13 Bäumen, 3 zusätzliche Parkplätze entstehen (dann 29), 24 Fahrradbügel werden installiert.   ",,31.07.2013,Bis Ende Juli 2013
31,STAWAG,,,,Soerser Weg,Purweider Weg bis hinter Am Tivoli/Soerser Winkel),"Soerser Weg, Purweider Weg, Soerser Winkel","Erneuerung Kanal und Versorgungsleitungen, anschließend Straßenbau",,30.04.2013,Bis Ende April
32,STAWAG,,,,Stettiner Straße,von Herderstr. bis südliche Einmündung Königsberger Str.,"Stettiner Straße, Herderstr., Königsberger Str.","Erneuerung von Versorgungsleitungen in der Stettiner Straße und anliegenden Nebenstraßen (z.B. Gustav-Freytag-Straße) in mehreren Bauabschnitten jeweils unter Vollsperrung, erster Bauabschnitt ab Ende Stettiner Straße bis Fußweg zur Glatzer Straße.  ",30.06.2013,31.12.2013,Ab 30.6. bis Ende 2013
